id_cliente,ind_empleado,pais_residencia,sexo,fecha_alta,conyuemp,canal_entrada,indfall,aparece_en_train,aparece_en_test
1050162,N,ES,H,2012-08-10,,KHE,N,1,0
1050163,N,ES,V,2012-08-10,,KHE,N,1,0
1050164,N,ES,V,2012-08-10,,KHE,N,1,0
1050165,N,ES,V,2012-08-10,,KHE,N,1,0
1050166,N,ES,V,2012-08-10,,KHE,N,1,0
1050167,N,ES,V,2012-08-10,,KHE,N,1,0
1050168,N,ES,H,2012-08-10,,KHE,N,1,0
1050169,N,ES,H,2012-08-10,,KHE,N,1,0
1050171,N,ES,H,2012-08-10,,KHE,N,1,0
1050172,N,ES,H,2012-08-10,,KHE,N,1,0
1050173,N,ES,H,2012-08-10,,KHE,N,1,0
1050174,N,ES,V,2012-08-10,,KHE,N,1,0
1050175,N,ES,H,2012-08-10,,KHE,N,1,0
1050176,N,ES,H,2012-08-10,,KHE,N,1,0
1050179,N,ES,H,2012-08-10,,KHE,N,1,0
1050182,N,ES,H,2012-08-10,,KHE,N,1,0
1050183,N,ES,H,2012-08-10,,KHE,N,1,0
1050184,N,ES,H,2012-08-10,,KHE,N,1,0
1050185,N,ES,H,2012-08-10,,KHE,N,1,0
1050186,N,ES,H,2012-08-10,,KHE,N,1,0
1050188,N,ES,H,2012-08-10,,KHE,N,1,0
1050189,N,ES,V,2012-08-10,,KHE,N,1,0
1050190,N,ES,H,2012-08-10,,KHE,N,1,0
1050191,N,ES,H,2012-08-10,,KHE,N,1,0
1050192,N,ES,V,2012-08-10,,KHE,N,1,0
1050193,N,ES,V,2012-08-10,,KHE,N,1,0
1050194,N,ES,H,2012-08-10,,KHE,N,1,0
1050195,N,ES,H,2012-08-10,,KHE,N,1,0
1050197,N,ES,H,2012-08-10,,KHE,N,1,0
1050198,N,ES,H,2012-08-10,,KHE,N,1,0
1050199,N,ES,V,2012-08-10,,KHE,N,1,0
1050200,N,ES,V,2012-08-10,,KHE,N,1,0
1050201,N,ES,V,2012-08-10,,KHE,N,1,0
1050202,N,ES,V,2012-08-10,,KHE,N,1,0
1050204,N,ES,H,2012-08-10,,KHE,N,1,0
1050207,N,ES,H,2012-08-10,,KHE,N,1,0
1050208,N,ES,H,2012-08-10,,KHE,N,1,0
1050209,N,ES,H,2012-08-10,,KHE,N,1,0
1050210,N,ES,H,2012-08-10,,KHE,N,1,0
1050211,N,ES,H,2012-08-10,,KHD,N,1,0
1050213,N,ES,V,2012-08-10,,KHE,N,1,0
1050214,N,ES,H,2012-08-10,,KHE,N,1,0
1050215,N,ES,H,2012-08-10,,KHE,N,1,0
1050216,N,ES,H,2012-08-10,,KHE,N,1,0
1050217,N,ES,V,2012-08-10,,KHE,N,1,0
1050218,N,ES,V,2012-08-10,,KHE,N,1,0
1050219,N,ES,V,2012-08-10,,KHE,N,1,0
1050220,N,ES,H,2012-08-10,,KHD,N,1,0
1050222,N,ES,H,2012-08-10,,KHE,N,1,0
1050223,N,ES,V,2012-08-10,,KHE,N,1,0
1050224,N,ES,H,2012-08-10,,KHE,N,1,0
1050225,N,ES,H,2012-08-10,,KHE,N,1,0
1050226,N,ES,H,2012-08-10,,KHE,N,1,0
1050227,N,ES,H,2012-08-10,,KHE,N,1,0
1050228,N,ES,H,2012-08-10,,KHE,N,1,0
1050229,N,ES,H,2012-08-10,,KHE,N,1,0
1050230,N,ES,V,2012-08-10,,KHE,N,1,0
1050231,N,ES,V,2012-08-10,,KHE,N,1,0
1050233,N,ES,V,2012-08-10,,KHE,N,1,0
1050234,N,ES,V,2012-08-10,,KHE,N,1,0
1050235,N,ES,H,2012-08-10,,KHE,N,1,0
1050238,N,ES,H,2012-08-10,,KHE,N,1,0
1050239,N,ES,H,2012-08-10,,KHE,N,1,0
1050240,N,ES,H,2012-08-10,,KHD,N,1,0
1050242,N,ES,H,2012-08-10,,KHE,N,1,0
1050243,N,ES,V,2012-08-10,,KHE,N,1,0
1050244,N,ES,V,2012-08-10,,KHE,N,1,0
1050245,N,ES,V,2012-08-10,,KHE,N,1,0
1050246,N,ES,H,2012-08-10,,KHE,N,1,0
1050247,N,ES,H,2012-08-10,,KHD,N,1,0
1050249,N,ES,V,2012-08-10,,KHE,N,1,0
1050251,N,ES,H,2012-08-10,,KHE,N,1,0
1050252,N,ES,V,2012-08-10,,KHE,N,1,0
1050253,N,ES,V,2012-08-10,,KHE,N,1,0
1050254,N,ES,V,2012-08-10,,KHD,N,1,0
1050257,N,ES,V,2012-08-10,,KHE,N,1,0
1050258,N,ES,V,2012-08-10,,KHE,N,1,0
1050259,N,ES,V,2012-08-10,,KHE,N,1,0
1050261,N,ES,H,2012-08-10,,KHE,N,1,0
1050262,N,ES,H,2012-08-10,,KHE,N,1,0
1050263,N,ES,V,2012-08-10,,KHE,N,1,0
1050264,N,ES,H,2012-08-10,,KHD,N,1,0
1050266,N,ES,H,2012-08-10,,KHE,N,1,0
1050267,N,ES,V,2012-08-10,,KHE,N,1,0
1050268,N,ES,V,2012-08-10,,KHE,N,1,0
1050269,N,ES,H,2012-08-10,,KHE,N,1,0
1050270,N,ES,H,2012-08-10,,KHE,N,1,0
1050271,N,ES,V,2012-08-10,,KHE,N,1,0
1050272,N,ES,H,2012-08-10,,KHE,N,1,0
1050273,N,ES,V,2012-08-10,,KHE,N,1,0
1050274,N,ES,H,2012-08-10,,KHE,N,1,0
1050275,N,ES,V,2012-08-10,,KHD,N,1,0
1050277,N,ES,V,2012-08-10,,KHE,N,1,0
1050278,N,ES,H,2012-08-10,,KHE,N,1,0
1050279,N,ES,H,2012-08-10,,KHE,N,1,0
1050280,N,ES,H,2012-08-10,,KHE,N,1,0
1050284,N,ES,V,2012-08-10,,KHE,N,1,0
1050285,N,ES,V,2012-08-10,,KHE,N,1,0
1050287,N,ES,H,2012-08-10,,KHE,N,1,0
1050288,N,ES,H,2012-08-10,,KHE,N,1,0
1050289,N,ES,V,2012-08-10,,KHE,N,1,0
1050290,N,ES,V,2012-08-10,,KHE,N,1,0
1050291,N,ES,V,2012-08-10,,KHE,N,1,0
1050292,N,ES,H,2012-08-10,,KHE,N,1,0
1050293,N,ES,H,2012-08-10,,KHE,N,1,0
1050294,N,ES,H,2012-08-10,,KHE,N,1,0
1050295,N,ES,V,2012-08-10,,KHE,N,1,0
1050296,N,ES,H,2012-08-10,,KHE,N,1,0
1050298,N,ES,H,2012-08-10,,KHE,N,1,0
1050299,N,ES,H,2012-08-10,,KHD,N,1,0
1050301,N,ES,V,2012-08-10,,KHE,N,1,0
1050302,N,ES,H,2012-08-10,,KHE,N,1,0
1050303,N,ES,H,2012-08-10,,KHE,N,1,0
1050304,N,ES,H,2012-08-10,,KHE,N,1,0
1050305,N,ES,H,2012-08-10,,KHE,N,1,0
1050306,N,ES,H,2012-08-10,,KHE,N,1,0
1050307,N,ES,V,2012-08-10,,KHE,N,1,0
1050308,N,ES,H,2012-08-10,,KFA,N,1,0
1050309,N,ES,H,2012-08-10,,KHE,N,1,0
1050310,N,ES,H,2012-08-10,,KHE,N,1,0
1050311,N,ES,V,2012-08-10,,KHE,N,1,0
1050312,N,ES,H,2012-08-10,,KHD,N,1,0
1050315,N,ES,H,2012-08-10,,KHE,N,1,0
1050316,N,ES,H,2012-08-10,,KHE,N,1,0
1050317,N,ES,V,2012-08-10,,KHE,N,1,0
1050318,N,ES,H,2012-08-10,,KHE,N,1,0
1050319,N,ES,V,2012-08-10,,KHD,N,1,0
1050321,N,ES,V,2012-08-10,,KHE,N,1,0
1050322,N,ES,H,2012-08-10,,KHE,N,1,0
1050324,N,ES,H,2012-08-10,,KHE,N,1,0
1050325,N,ES,H,2012-08-10,,KHE,N,1,0
1050326,N,ES,H,2012-08-10,,KHE,N,1,0
1050327,N,ES,H,2012-08-10,,KFA,N,1,0
1050328,N,ES,H,2012-08-10,,KHD,N,1,0
1050330,N,ES,H,2012-08-10,,KHE,N,1,0
1050332,N,ES,H,2012-08-10,,KHE,N,1,0
1050333,N,ES,V,2012-08-10,,KHE,N,1,0
1050334,N,ES,V,2012-08-10,,KHD,N,1,0
1050336,N,ES,H,2012-08-10,,KHE,N,1,0
1050337,N,ES,H,2012-08-10,,KHE,N,1,0
1050338,N,ES,H,2012-08-10,,KHE,N,1,0
1050340,N,ES,V,2012-08-10,,KHE,N,1,0
1050341,N,ES,H,2012-08-10,,KHE,N,1,0
1050342,N,ES,V,2012-08-10,,KHE,N,1,0
1050343,N,ES,H,2012-08-10,,KHE,N,1,0
1050344,N,ES,H,2012-08-10,,KHE,N,1,0
1050345,N,ES,V,2012-08-10,,KHE,N,1,0
1050346,N,ES,V,2012-08-10,,KHE,N,1,0
1050347,N,ES,V,2012-08-10,,KHE,N,1,0
1050348,N,ES,H,2012-08-10,,KHD,N,1,0
1050350,N,ES,V,2012-08-10,,KHE,N,1,0
1050351,N,ES,H,2012-08-10,,KHE,N,1,0
1050352,N,ES,H,2012-08-10,,KHD,N,1,0
1050355,N,ES,V,2012-08-10,,KHE,N,1,0
1050356,N,ES,H,2012-08-10,,KHE,N,1,0
1050357,N,ES,H,2012-08-10,,KHE,N,1,0
1050358,N,ES,V,2012-08-10,,KHE,N,1,0
1050359,N,ES,H,2012-08-10,,KHE,N,1,0
1050360,N,ES,H,2012-08-10,,KFA,N,1,0
1050362,N,ES,H,2012-08-10,,KHE,N,1,0
1050363,N,ES,V,2012-08-10,,KHE,N,1,0
1050364,N,ES,V,2012-08-10,,KHE,N,1,0
1050365,N,ES,H,2012-08-10,,KHE,N,1,0
1050366,N,ES,H,2012-08-10,,KHE,N,1,0
1050367,N,ES,V,2012-08-10,,KHE,N,1,0
1050368,N,ES,V,2012-08-10,,KHD,N,1,0
1050370,N,ES,H,2012-08-10,,KHD,N,1,0
1050372,N,ES,V,2012-08-10,,KHE,N,1,0
1050373,N,ES,V,2012-08-10,,KHE,N,1,0
1050374,N,ES,H,2012-08-10,,KHE,N,1,0
1050375,N,ES,H,2012-08-10,,KHE,N,1,0
1050376,N,ES,H,2012-08-10,,KHE,N,1,0
1050377,N,ES,V,2012-08-10,,KHE,N,1,0
1050378,N,ES,H,2012-08-10,,KHE,N,1,0
1050379,N,ES,H,2012-08-10,,KHE,N,1,0
1050380,N,ES,V,2012-08-10,,KHE,N,1,0
1050381,N,ES,V,2012-08-10,,KHE,N,1,0
1050383,N,ES,H,2012-08-10,,KHE,N,1,0
1050384,N,ES,H,2012-08-10,,KHE,N,1,0
1050385,N,ES,H,2012-08-10,,KHE,N,1,0
1050386,N,ES,H,2012-08-10,,KHE,N,1,0
1050387,N,ES,H,2012-08-10,,KHE,N,1,0
1050388,N,ES,V,2012-08-10,,KHE,N,1,0
1050389,N,ES,V,2012-08-10,,KHE,N,1,0
1050390,N,ES,H,2012-08-10,,KHE,N,1,0
1050391,N,ES,H,2012-08-10,,KHE,N,1,0
1050392,N,ES,H,2012-08-10,,KHD,N,1,0
1050394,N,ES,H,2012-08-10,,KHD,N,1,0
1050396,N,ES,V,2012-08-10,,KHE,N,1,0
1050397,N,ES,V,2012-08-10,,KHE,N,1,0
1050398,N,ES,H,2012-08-10,,KHD,N,1,0
1050400,N,ES,H,2012-08-10,,KHE,N,1,0
1050401,N,ES,H,2012-08-10,,KHE,N,1,0
1050403,N,ES,H,2012-08-10,,KHE,N,1,0
1050404,N,ES,H,2012-08-10,,KHE,N,1,0
1050405,N,ES,V,2012-08-10,,KHE,N,1,0
1050406,N,ES,V,2012-08-10,,KHE,N,1,0
1050407,N,ES,V,2012-08-10,,KHE,N,1,0
1050408,N,ES,V,2012-08-10,,KHE,N,1,0
1050409,N,ES,V,2012-08-10,,KHE,N,1,0
1050411,N,ES,H,2012-08-10,,KHE,N,1,0
1050412,N,ES,V,2012-08-10,,KHE,N,1,0
1050413,N,ES,H,2012-08-10,,KHE,N,1,0
1050414,N,ES,H,2012-08-10,,KHE,N,1,0
1050415,N,ES,H,2012-08-10,,KHE,N,1,0
1050416,N,ES,V,2012-08-10,,KHE,N,1,0
1050417,N,ES,V,2012-08-10,,KHE,N,1,0
1050418,N,ES,H,2012-08-10,,KHE,N,1,0
1050419,N,ES,V,2012-08-10,,KHE,N,1,0
1050420,N,ES,H,2012-08-10,,KHE,N,1,0
1050421,N,ES,V,2012-08-10,,KHE,N,1,0
1050422,N,ES,H,2012-08-10,,KHE,N,1,0
1050423,N,ES,H,2012-08-10,,KHE,N,1,0
1050424,N,ES,V,2012-08-10,,KHE,N,1,0
1050425,N,ES,V,2012-08-10,,KHE,N,1,0
1050426,N,ES,H,2012-08-10,,KHE,N,1,0
1050428,N,ES,H,2012-08-10,,KHE,N,1,0
1050430,N,ES,V,2012-08-10,,KHE,N,1,0
1050431,N,ES,H,2012-08-10,,KHE,N,1,0
1050432,N,ES,H,2012-08-10,,KHE,N,1,0
1050433,N,ES,H,2012-08-10,,KHD,N,1,0
1050435,N,ES,H,2012-08-10,,KHE,N,1,0
1050436,N,ES,H,2012-08-10,,KHE,N,1,0
1050437,N,ES,H,2012-08-10,,KHE,N,1,0
1050438,N,ES,V,2012-08-10,,KHE,N,1,0
1050439,N,ES,H,2012-08-10,,KHE,N,1,0
1050441,N,ES,V,2012-08-10,,KHE,N,1,0
1050443,N,ES,V,2012-08-10,,KHE,N,1,0
1050444,N,ES,V,2012-08-10,,KHE,N,1,0
1050445,N,ES,H,2012-08-10,,KHE,N,1,0
1050446,N,ES,V,2012-08-10,,KHE,N,1,0
1050447,N,ES,H,2012-08-10,,KHE,N,1,0
1050449,N,ES,H,2012-08-10,,KHE,N,1,0
1050450,N,ES,H,2012-08-10,,KHE,N,1,0
1050451,N,ES,V,2012-08-10,,KHE,N,1,0
1050452,N,ES,V,2012-08-10,,KHE,N,1,0
1050453,N,ES,V,2012-08-10,,KHE,N,1,0
1050454,N,ES,H,2012-08-10,,KHE,N,1,0
1050455,N,ES,H,2012-08-10,,KAT,N,1,0
1050457,N,ES,H,2012-08-10,,KHE,N,1,0
1050458,N,ES,V,2012-08-10,,KHE,N,1,0
1050459,N,ES,H,2012-08-10,,KHE,N,1,0
1050460,N,ES,V,2012-08-10,,KHE,N,1,0
1050461,N,ES,V,2012-08-10,,KHE,N,1,0
1050462,N,ES,H,2012-08-10,,KHE,N,1,0
1050463,N,ES,H,2012-08-10,,KHE,N,1,0
1050464,N,ES,H,2012-08-10,,KHE,N,1,0
1050465,N,ES,H,2012-08-10,,KHE,N,1,0
1050466,N,ES,H,2012-08-10,,KHE,N,1,0
1050467,N,ES,H,2012-08-10,,KHE,N,1,0
1050468,N,ES,H,2012-08-10,,KHE,N,1,0
1050469,N,ES,V,2012-08-10,,KHE,N,1,0
1050470,N,ES,H,2012-08-10,,KHE,N,1,0
1050473,N,ES,H,2012-08-10,,KHE,N,1,0
1050474,N,ES,V,2012-08-10,,KHE,N,1,0
1050475,N,ES,V,2012-08-10,,KHE,N,1,0
1050476,N,ES,V,2012-08-10,,KHE,N,1,0
1050477,N,ES,V,2012-08-10,,KHE,N,1,0
1050478,N,ES,H,2012-08-10,,KHE,N,1,0
1050481,N,ES,H,2012-08-10,,KHE,N,1,0
1050482,N,ES,V,2012-08-10,,KHE,N,1,0
1050485,N,ES,H,2012-08-10,,KHE,N,1,0
1050486,N,ES,V,2012-08-10,,KHE,N,1,0
1050487,N,ES,H,2012-08-10,,KHE,N,1,0
1050488,N,ES,V,2012-08-10,,KHE,N,1,0
1050489,N,ES,H,2012-08-10,,KHE,N,1,0
1050490,N,ES,V,2012-08-10,,KHE,N,1,0
1050491,N,ES,V,2012-08-10,,KHE,N,1,0
1050492,N,ES,V,2012-08-10,,KHE,N,1,0
1050493,N,ES,H,2012-08-10,,KHE,N,1,0
1050494,N,ES,V,2012-08-10,,KHE,N,1,0
1050495,N,ES,H,2012-08-10,,KHE,N,1,0
1050496,N,ES,V,2012-08-10,,KHE,N,1,0
1050497,N,ES,H,2012-08-10,,KHE,N,1,0
1050498,N,ES,V,2012-08-10,,KHE,N,1,0
1050499,N,ES,H,2012-08-10,,KHE,N,1,0
1050500,N,ES,V,2012-08-10,,KHE,N,1,0
1050501,N,ES,V,2012-08-10,,KHE,N,1,0
1050502,N,ES,H,2012-08-10,,KHE,N,1,0
1050503,N,ES,V,2012-08-10,,KHE,N,1,0
1050504,N,ES,V,2012-08-10,,KHE,N,1,0
1050505,N,ES,V,2012-08-10,,KHE,N,1,0
1050507,N,ES,V,2012-08-10,,KHE,N,1,0
1050508,N,ES,H,2012-08-10,,KHE,N,1,0
1050509,N,ES,H,2012-08-10,,KHE,N,1,0
1050511,N,ES,H,2012-08-10,,KHE,N,1,0
1050512,N,ES,H,2012-08-10,,KHE,N,1,0
1050513,N,ES,V,2012-08-10,,KHE,N,1,0
1050514,N,ES,H,2012-08-10,,KHE,N,1,0
1050515,N,ES,H,2012-08-10,,KHE,N,1,0
1050516,N,ES,H,2012-08-10,,KHE,N,1,0
1050517,N,ES,V,2012-08-10,,KHE,N,1,0
1050520,N,ES,V,2012-08-10,,KHE,N,1,0
1050521,N,ES,H,2012-08-10,,KHE,N,1,0
1050522,N,ES,V,2012-08-10,,KHE,N,1,0
1050523,N,ES,H,2012-08-10,,KHE,N,1,0
1050524,N,ES,V,2012-08-10,,KHE,N,1,0
1050525,N,ES,H,2012-08-10,,KHE,N,1,0
1050526,N,ES,V,2012-08-10,,KHE,N,1,0
1050527,N,ES,H,2012-08-10,,KHE,N,1,0
1050529,N,ES,H,2012-08-10,,KHE,N,1,0
1050530,N,ES,V,2012-08-10,,KHE,N,1,0
1050531,N,ES,H,2012-08-10,,KHE,N,1,0
1050532,N,ES,V,2012-08-10,,KHE,N,1,0
1050533,N,ES,H,2012-08-10,,KHE,N,1,0
1050534,N,ES,V,2012-08-10,,KHE,N,1,0
1050535,N,ES,H,2012-08-10,,KHE,N,1,0
1050536,N,ES,V,2012-08-10,,KHE,N,1,0
1050537,N,ES,H,2012-08-10,,KHE,N,1,0
1050540,N,ES,H,2012-08-10,,KHE,N,1,0
1050541,N,ES,V,2012-08-10,,KHE,N,1,0
1050542,N,ES,V,2012-08-10,,KHE,N,1,0
1050543,N,ES,H,2012-08-10,,KHE,N,1,0
1050544,N,ES,H,2012-08-10,,KHE,N,1,0
1050547,N,ES,H,2012-08-10,,KHE,N,1,0
1050548,N,ES,V,2012-08-10,,KHE,N,1,0
1050549,N,ES,V,2012-08-10,,KHE,N,1,0
1050550,N,ES,H,2012-08-10,,KHE,N,1,0
1050551,N,ES,H,2012-08-10,,KHE,N,1,0
1050552,N,ES,V,2012-08-10,,KHE,N,1,0
1050553,N,ES,H,2012-08-10,,KHE,N,1,0
1050556,N,ES,H,2012-08-10,,KHE,N,1,0
1050557,N,ES,H,2012-08-10,,KHE,N,1,0
1050560,N,ES,H,2012-08-10,,KHE,N,1,0
1050561,N,ES,H,2012-08-10,,KHE,N,1,0
1050562,N,ES,V,2012-08-10,,KHE,N,1,0
1050565,N,ES,H,2012-08-10,,KHE,N,1,0
1050567,N,ES,V,2012-08-10,,KHE,N,1,0
1050568,N,ES,H,2012-08-10,,KHE,N,1,0
1050569,N,ES,V,2012-08-10,,KHE,N,1,0
1050570,N,ES,H,2012-08-10,,KHE,N,1,0
1050571,N,ES,H,2012-08-10,,KHE,N,1,0
1050573,N,ES,V,2012-08-10,,KHE,N,1,0
1050574,N,ES,H,2012-08-10,,KHE,N,1,0
1050575,N,ES,V,2012-08-10,,KHE,N,1,0
1050577,N,ES,H,2012-08-10,,KHE,N,1,0
1050578,N,ES,V,2012-08-10,,KHE,N,1,0
1050579,N,ES,H,2012-08-10,,KHD,N,1,0
1050580,N,ES,H,2012-08-10,,KHE,N,1,0
1050582,N,ES,V,2012-08-10,,KHE,N,1,0
1050586,N,ES,V,2012-08-10,,KHE,N,1,0
1050588,N,ES,H,2012-08-10,,KHE,N,1,0
1050589,N,ES,V,2012-08-10,,KHE,N,1,0
1050591,N,ES,H,2012-08-10,,KHE,N,1,0
1050592,N,ES,H,2012-08-10,,KHD,N,1,0
1050595,N,ES,V,2012-08-10,,KHE,N,1,0
1050596,N,ES,H,2012-08-10,,KHE,N,1,0
1050597,N,ES,H,2012-08-10,,KHE,N,1,0
1050598,N,ES,H,2012-08-10,,KHE,N,1,0
1050599,N,ES,V,2012-08-10,,KHE,N,1,0
1050601,N,ES,V,2012-08-10,,KHE,N,1,0
1050602,N,ES,V,2012-08-10,,KHE,N,1,0
1050603,N,ES,H,2012-08-10,,KHE,N,1,0
1050604,N,ES,H,2012-08-10,,KHE,N,1,0
1050605,N,ES,V,2012-08-10,,KHE,N,1,0
1050607,N,ES,V,2012-08-10,,KHE,N,1,0
1050609,N,ES,H,2012-08-10,,KFA,N,1,0
1050610,N,ES,V,2012-08-10,,KHE,N,1,0
1050611,N,ES,V,2012-08-10,,KHE,N,1,0
1050612,N,ES,V,2012-08-10,,KHE,N,1,0
1050613,N,ES,H,2012-08-10,,KHD,N,1,0
1050614,N,ES,V,2012-08-10,,KHE,N,1,0
1050615,N,ES,H,2012-08-10,,KHE,N,1,0
1050616,N,ES,H,2012-08-10,,KHE,N,1,0
1050617,N,ES,H,2012-08-10,,KHE,N,1,0
1050619,N,ES,H,2012-08-10,,KHE,N,1,0
1050620,N,ES,H,2012-08-10,,KHE,N,1,0
1050621,N,ES,V,2012-08-10,,KHE,N,1,0
1050622,N,ES,H,2012-08-10,,KHE,N,1,0
1050623,N,ES,H,2012-08-10,,KHE,N,1,0
1050624,N,ES,H,2012-08-10,,KHE,N,1,0
1050625,N,ES,V,2012-08-10,,KHE,N,1,0
1050626,N,ES,V,2012-08-10,,KHE,N,1,0
1050627,N,ES,H,2012-08-10,,KHE,N,1,0
1050628,N,ES,V,2012-08-10,,KHE,N,1,0
1050629,N,ES,V,2012-08-10,,KHE,N,1,0
1050630,N,ES,V,2012-08-10,,KHD,N,1,0
1050632,N,ES,H,2012-08-10,,KHE,N,1,0
1050633,N,ES,V,2012-08-10,,KHE,N,1,0
1050634,N,ES,H,2012-08-10,,KHE,N,1,0
1050635,N,ES,V,2012-08-10,,KHE,N,1,0
1050636,N,ES,H,2012-08-10,,KHE,N,1,0
1050639,N,ES,V,2012-08-10,,KHE,N,1,0
1050641,N,ES,V,2012-08-10,,KFC,N,1,0
1050642,N,ES,V,2012-08-10,,KFC,N,1,0
1050647,N,ES,H,2012-08-10,,KAT,N,1,0
1050648,N,ES,V,2012-08-10,,KAT,N,1,0
1050651,N,ES,H,2012-08-10,,KFC,N,1,0
1050652,N,ES,H,2012-08-10,,KFC,N,1,0
1050655,N,ES,H,2012-08-10,,KFC,N,1,0
1050658,N,ES,H,2012-08-10,,KAT,N,1,0
1050659,N,ES,V,2012-08-10,,KFC,N,1,0
1050660,N,ES,H,2012-08-10,,KFC,N,1,0
1050661,N,ES,V,2012-08-10,,KFC,N,1,0
1050662,N,ES,V,2012-08-10,,KAT,N,1,0
1050663,N,ES,H,2012-08-10,,KFC,N,1,0
1050669,N,ES,V,2012-08-10,,KFC,N,1,0
1050670,N,ES,V,2012-08-10,,KFC,N,1,0
1050676,N,ES,V,2012-08-10,,KFC,N,1,0
1050679,N,ES,V,2012-08-10,,KFC,N,1,0
1050680,N,ES,V,2012-08-10,,KFC,N,1,0
1050686,N,ES,V,2012-08-10,,KFC,N,1,0
1050688,N,ES,V,2012-08-10,,KFC,N,1,0
1050693,N,ES,V,2012-08-10,,KFC,N,1,0
1050694,N,ES,V,2012-08-10,,KFC,N,1,0
1050697,N,ES,H,2012-08-10,,KFC,N,1,0
1050703,N,ES,V,2012-08-10,,KHE,N,1,0
1050704,N,ES,V,2012-08-10,,KHE,N,1,0
1050706,N,ES,H,2012-08-10,,KHE,N,1,0
1050707,N,ES,V,2012-08-10,,KHE,N,1,0
1050710,N,ES,H,2012-08-10,,KHE,N,1,0
1050711,N,ES,V,2012-08-10,,KHE,N,1,0
1050713,N,ES,V,2012-08-10,,KHE,N,1,0
1050715,N,ES,V,2012-08-10,,KHD,N,1,0
1050717,N,ES,V,2012-08-10,,KHE,N,1,0
1050718,N,ES,H,2012-08-10,,KHE,N,1,0
1050720,N,ES,H,2012-08-10,,KHE,N,1,0
1050722,N,ES,H,2012-08-10,,KHE,N,1,0
1050725,N,ES,H,2012-08-10,,KHE,N,1,0
1050727,N,ES,H,2012-08-10,,KHE,N,1,0
1050728,N,ES,H,2012-08-10,,KHE,N,1,0
1050732,N,ES,H,2012-08-10,,KHE,N,1,0
1050734,N,ES,V,2012-08-10,,KHE,N,1,0
1050735,N,ES,H,2012-08-10,,KHE,N,1,0
1050736,N,ES,H,2012-08-10,,KHE,N,1,0
1050738,N,ES,H,2012-08-10,,KHE,N,1,0
1050739,N,ES,H,2012-08-10,,KHE,N,1,0
1050740,N,ES,V,2012-08-10,,KHE,N,1,0
1050741,,,,,,,,1,0
1050742,N,ES,V,2012-08-10,,KHE,N,1,0
1050743,N,ES,H,2012-08-10,,KHE,N,1,0
1050744,N,ES,H,2012-08-10,,KHE,N,1,0
1050746,N,ES,H,2012-08-10,,KHE,N,1,0
1050747,N,ES,H,2012-08-10,,KHE,N,1,0
1050748,N,ES,V,2012-08-10,,KHE,N,1,0
